TAZ,Pop,Income,Area_SqMi,x-meters,y-meters,EmpDens,PopDens,TotEmp,Military,CVM_IN,CVM_RE,CVM_SV,CVM_TH,CVM_WH,CVM_GO,CVM_LU_Type,SqrtArea,CVM_LU_Low,CVM_LU_Res,CVM_LU_Ret,CVM_LU_Ind,CVM_LU_Emp,Emp_LU_Lo,Emp_LU_Re,Emp_LU_RC,Emp_LU_In,Emp_LU_EN
37,260,80641.75824,1.15,264605.7,-508729.5,84.6258603,226.992685,96.93142173,0,76.23819687,1.089117098,0,0,8.712936785,10.89117098,1,1.070238927,1,0,0,0,0,96.93142173,0,0,0,0
38,721,68588.29225,0.4,255322.3,-510144,107.2104401,1819.839806,42.47556683,0,26.13881036,0,8.712936784,0,0,7.623819687,2,0.629435237,0,1,0,0,0,0,42.47556683,0,0,0
39,147,75809.09091,0.18,258318.4,-509826.5,0,818.8629597,0,0,0,0,0,0,0,0,5,0.423694722,0,0,0,0,1,0,0,0,0,0
40,205,73859.74576,2.35,264334.4,-510092.4,15.26770594,87.08415293,35.94086424,0,8.712936785,0,23.96057616,3.267351294,0,0,1,1.534289683,1,0,0,0,0,35.94086424,0,0,0,0
41,481,75243.51852,0.67,260287.6,-509995.5,33.27402898,719.9546716,22.23029945,0,6.534702588,0,3.715308786,2.178234196,0,9.802053882,2,0.817372385,0,1,0,0,0,0,22.23029945,0,0,0
42,157,64548.55072,1.87,266439.8,-510047.5,4.080152028,84.02400565,7.623819686,0,6.534702588,0,1.089117098,0,0,0,1,1.366935855,1,0,0,0,0,7.623819686,0,0,0,0
43,10,92500,4.9,253335.1,-511974.4,0,2.040899414,0,0,0,0,0,0,0,0,1,2.213549302,1,0,0,0,0,0,0,0,0,0
44,158,79804,0.13,258672.4,-510246.6,0,1211.842665,0,0,0,0,0,0,0,0,5,0.361081655,0,0,0,0,1,0,0,0,0,0
45,1068,55851.66113,0.17,256200.6,-510250,443.3722187,6276.331829,75.44558549,0,4.356468392,0,0,0,0,71.0891171,2,0.412508287,0,1,0,0,0,0,75.44558549,0,0,0
46,709,60307.97101,0.18,257346.6,-509999.5,144.1033408,3908.719152,26.13881035,0,4.356468392,0,13.06940518,0,2.178234196,6.534702589,2,0.425898278,0,1,0,0,0,0,26.13881035,0,0,0
47,161,66515.90909,0.51,262300,-510607,25.64186437,315.1360969,13.10018181,0,5.44558549,0,7.654596318,0,0,0,2,0.714765961,0,1,0,0,0,0,13.10018181,0,0,0
48,94,22500,0.05,257987.6,-510455.4,90.14759476,1945.124616,4.356468392,0,0,0,1.089117098,0,2.178234196,1.089117098,2,0.219831646,0,1,0,0,0,0,4.356468392,0,0,0
49,681,44612.30964,0.05,256046.7,-510465.7,713.6113307,13818.48685,35.16805577,0,0,0,31.90070448,0,0,3.267351294,2,0.22199506,0,1,0,0,0,0,35.16805577,0,0,0
50,580,51449.04459,0.07,256450.8,-510502.7,581.8704218,8374.868076,40.29733264,0,0,32.67351295,5.44558549,0,0,2.178234196,2,0.26316311,0,1,0,0,0,0,40.29733264,0,0,0
51,12,49166.66667,0.09,256967.6,-510677.9,8300.743396,141.1395254,705.7478796,0,405.1515605,11.98028808,44.65380102,1.089117098,51.18850361,191.6846093,4,0.291585751,0,0,0,1,0,0,0,0,705.7478796,0
52,179,64722.22222,0.1,257618.6,-510567.6,0,1828.595503,0,0,0,0,0,0,0,0,5,0.312872716,0,0,0,0,1,0,0,0,0,0
53,612,62044.16667,0.47,258965.6,-510834.1,172.6122905,1289.20683,81.94086423,0,29.40616164,0,47.0891171,0,5.44558549,0,2,0.68899237,0,1,0,0,0,0,81.94086423,0,0,0
